Sub-Category,Sum of Sales,Region
Chairs,101781.328,West
Phones,100614.982,East
Phones,98684.352,West
Chairs,96260.683,East
Chairs,85230.646,Central
Tables,84754.562,West
Phones,72403.282,Central
Storage,71612.584,East
Storage,70532.852,West
Machines,66106.165,East
Accessories,61114.116,West
Phones,58304.438,South
Binders,56923.282,Central
Binders,55961.113,West
Machines,53890.96,South
Binders,53497.997,East
Copiers,53219.462,East
Copiers,49749.242,West
Storage,45930.112,Central
Chairs,45176.446,South
Accessories,45033.372,East
Tables,43916.192,South
Bookcases,43819.334,East
Machines,42444.122,West
Tables,39154.971,Central
Tables,39139.807,East
Copiers,37259.57,Central
Binders,37030.341,South
Bookcases,36004.1235,West
Storage,35768.06,South
Appliances,34188.466,East
Accessories,33956.076,Central
Appliances,30236.336,West
Furnishings,30072.73,West
Furnishings,29071.38,East
Accessories,27276.754,South
Machines,26797.384,Central
Paper,26663.718,West
Bookcases,24157.1768,Central
Appliances,23582.033,Central
Paper,20172.602,East
Appliances,19525.326,South
Supplies,18127.122,West
Paper,17491.902,Central
Furnishings,17306.684,South
Furnishings,15254.37,Central
Paper,14150.984,South
Bookcases,10899.362,South
Supplies,10760.116,East
Supplies,9467.372,Central
Copiers,9299.756,South
Art,9212.066,West
Supplies,8318.928,South
Art,7485.764,East
Art,5765.34,Central
Labels,5078.726,West
Art,4655.622,South
Envelopes,4636.872,Central
Envelopes,4375.874,East
Envelopes,4118.1,West
Envelopes,3345.556,South
Labels,2602.934,East
Labels,2451.472,Central
Labels,2353.18,South
Fasteners,923.216,West
Fasteners,819.718,East
Fasteners,778.03,Central
Fasteners,503.316,South
